pair,metric,n,slope,se_slope,t_slope,p_slope,slope_significant,intercept,se_intercept,t_intercept,p_intercept,intercept_significant,r2
YOLO_vs_FastYOLO,metrics/precision(B),20,-0.0002673759398496237,0.0024134907430770373,-0.11078390941277758,0.9130136185779296,False,0.014100947368421032,0.028911564137085562,0.48772689369418815,0.6316308011426346,False,0.0006813728913591666
YOLO_vs_FastYOLO,metrics/recall(B),20,0.0028110000000000006,0.00402800531315941,0.6978640248602755,0.4941793245790984,False,-0.009834999999999983,0.04825207400938951,-0.20382543552607008,0.8407765856018784,False,0.02634358323087671
YOLO_vs_FastYOLO,metrics/mAP50(B),20,0.0009687142857142893,0.0036350818256734208,0.26649036587638003,0.7928904135184818,False,-0.008670000000000054,0.04354518518373143,-0.19910352805754478,0.8444135213182483,False,0.003929890312901474
YOLO_vs_FastYOLO,metrics/mAP50-95(B),20,0.0002857894736842131,0.0025023648679548703,0.11420775496971503,0.9103373757670654,False,0.012200210526315765,0.029976200481311558,0.4069965616196721,0.688809453566559,False,0.0007241092466940824
YOLO_vs_FastYOLO,speed/val_median_ms,20,-0.8281725558038293,0.23576064759121726,-3.5127684126478496,0.002485250819531031,True,128.02584172963714,2.4215728879186105,52.868878062009465,3.3441813699388565e-21,True,0.40671483943525155
YOLO_vs_FastYOLO,speed/val_p95_ms,20,-2.4057822378200844,1.205152406106879,-1.996247300863562,0.0612617529061505,False,175.72851477091825,12.378505158750736,14.196262999227375,3.2275262929319475e-11,True,0.18126007234693164
YOLO_vs_FastYOLO,speed/val_mean_ms,20,-1.0817947044026872,0.34691788246446137,-3.1183019356562207,0.005936707908754764,True,136.76112063225693,3.563304338927216,38.3804209868391,1.0154358134874002e-18,True,0.35073851781158294
YOLO_vs_FastYOLO,speed/val_fps,20,0.023876693760609365,0.006945074518062686,3.4379319758932865,0.002934219158529334,True,-5.309021096030905,0.07133507788235957,-74.42370925544012,7.292499751219575e-24,True,0.3963656437179015
YOLO_vs_FastYOLO,speed/val_throughput_fps,20,0.03022233613236388,0.007942459948152248,3.8051606592482563,0.001296395265678721,True,-5.415878707378905,0.08157954209208504,-66.38770662950756,5.662590426828334e-23,True,0.4457999705528627
YOLO_vs_FastYOLO,speed/val_flops_g,20,0.0,1.452205678932628e-16,0.0,1.0,False,20.352460800000006,1.4916068206099102e-15,1.3644655226018606e+16,1.3689934931011752e-280,True,0.0
YOLO_vs_UnpretrainedYOLO,metrics/precision(B),20,-0.03446651879699248,0.003839291243550028,-8.97731289724266,4.572851127484227e-08,True,0.7787609473684209,0.045991440135929526,16.932736723763423,1.6692363738548906e-12,True,0.8174296779795981
YOLO_vs_UnpretrainedYOLO,metrics/recall(B),20,-0.02454315037593985,0.005417179628342396,-4.530614094376969,0.00025892141568446353,True,0.5889565789473684,0.06489319949379864,9.075782725178323,3.8867064707448416e-08,True,0.5327886834804604
