epoch_ckpt,speed/median_ms,speed/p95_ms,speed/mean_ms,speed/fps,speed/throughput_fps,speed/flops_g
0,209.08405000227503,218.53147498331964,210.28714242261643,4.7827655911061555,4.7553363078095465,28.4376576
1,226.8785000051139,238.27089000114938,227.15093636427562,4.407645501788225,4.4023010827787505,28.4376576
2,217.73525000025984,236.3575299968943,219.66442121166355,4.592733606518957,4.552335783489752,28.4376576
3,218.6020500084851,225.67193499417044,219.0377507579273,4.574522516880261,4.565361470865861,28.4376576
4,212.4586999998428,232.73841999325657,215.31409394017166,4.706797132810942,4.644314472444179,28.4376576
5,214.44644998700824,305.6199550061137,226.10997045271552,4.663168824014493,4.422569433235005,28.4376576
6,230.72720000345726,266.2618799862684,235.47645378946044,4.334122721486742,4.246654946092504,28.4376576
7,213.25899999646936,238.78508998604948,216.2222204563229,4.6891338701604885,4.624808568395954,28.4376576
8,213.3997999917483,241.49228998867324,217.88354469732218,4.686040005841935,4.589551841422608,28.4376576
9,218.4523000032641,250.9899399956339,225.9792143941564,4.577658372033886,4.425133534186899,28.4376576
10,216.70069999527186,231.54292502294993,218.3369969709681,4.614659758929338,4.580017019345237,28.4376576
11,216.74285001063254,247.294770006556,222.38635454634664,4.613762345336624,4.4966182824549605,28.4376576
12,212.1369499946013,252.0551100038574,219.46042272545375,4.713935974027387,4.556575398058802,28.4376576
13,209.58095000241883,226.6357850006898,212.4469212135547,4.771426028885062,4.706992934781882,28.4376576
14,218.74285000376403,296.27252499922173,230.66584318241274,4.571577996642142,4.3352205051781825,28.4376576
15,223.98265000083484,246.2554949961486,227.6899310597924,4.4646315238982694,4.391881855262328,28.4376576
16,221.8709000007948,279.4194599977345,230.83171590868997,4.507125540106512,4.332106504837555,28.4376576
17,224.65795000607613,251.63867001101607,231.61340227163623,4.451211274619722,4.317482066437313,28.4376576
18,216.4965999982087,249.98778999579372,221.95403484930108,4.619010183108068,4.5053734924061395,28.4376576
19,216.50080000108574,232.36526499676984,217.7755393918646,4.618920576713736,4.591818200236371,28.4376576
