epoch_ckpt,speed/median_ms,speed/p95_ms,speed/mean_ms,speed/fps,speed/throughput_fps,speed/flops_g
0,104.16669999540318,109.605709999596,104.8862280303817,9.599996928424625,9.53391354612608,8.0851968
1,101.60704999725567,110.27393500626204,103.17226818226504,9.841836762577097,9.692284220717342,8.0851968
2,102.50639999867417,108.7586200046644,103.42450151460291,9.755488437921283,9.66865979007454,8.0851968
3,103.2395500005805,130.29376999184024,106.46669924189513,9.68621037184274,9.392403830792956,8.0851968
4,103.62444999191212,108.39680000208318,104.29378560542263,9.6502321612134,9.588081073850557,8.0851968
5,103.07665000436828,108.25637000380084,103.48764090921384,9.701518238685688,9.66276949116444,8.0851968
6,101.82984999846667,113.7378149971482,105.03544469809805,9.820303182368017,9.520372847803975,8.0851968
7,102.73885000060545,125.7490099975257,105.71109393938308,9.73341632687252,9.459516073223387,8.0851968
8,101.64280000026338,106.16772500507068,102.38624318100682,9.83837517263799,9.76671801863644,8.0851968
9,103.15605000505457,107.39414999479777,103.6558378788565,9.694050905894523,9.647080982576156,8.0851968
10,103.08439999789698,118.4352599979319,104.86735757579233,9.700788868348663,9.53564300910527,8.0851968
11,103.07615000056103,128.74846999620783,106.61150075754972,9.701565299000372,9.379652320866752,8.0851968
12,102.49614999338519,106.56005500350147,102.99785909096086,9.75646402391248,9.708712656845346,8.0851968
13,101.21024999534711,110.00426999235054,102.18788030386239,9.880422190894425,9.785658494761996,8.0851968
14,99.44420000101672,104.42133500837372,99.99662121249871,10.055890640075297,10.000099091887066,8.0851968
15,100.25284999574069,123.56192500519681,103.14468106045035,9.974778772299098,9.694899599985739,8.0851968
16,104.46289999526925,121.55314499977975,107.34185909049384,9.572776555555,9.31582696543066,8.0851968
17,103.92690000298899,150.45344499521877,109.24866666656189,9.622147874816237,9.153209478244811,8.0851968
18,99.95160000107717,104.66754999652039,100.52113863595437,10.004842343586526,9.94791295386099,8.0851968
19,100.21414999937406,123.78789000285906,102.84618863674537,9.978630762285027,9.723035789879942,8.0851968
