epoch_ckpt,speed/median_ms,speed/p95_ms,speed/mean_ms,speed/fps,speed/throughput_fps,speed/flops_g
0,200.04700000572484,235.43247000779954,204.67027424390173,4.998825275917072,4.885842855399843,28.4376576
1,209.27325000229757,249.21877499145918,214.1163750012779,4.778441582901881,4.670296987579737,28.4376576
2,207.67385000362992,222.77343999594447,210.04473787902634,4.8152427471370185,4.760821898195641,28.4376576
3,198.9585499977693,206.51589000335662,200.10680530244963,5.02617253699935,4.99726146286067,28.4376576
4,206.29180000105407,308.24222500523314,221.96996742599313,4.847502421302691,4.50505801292828,28.4376576
5,203.3176499971887,245.3820550101227,210.07616666853815,4.918412149726436,4.760113743351587,28.4376576
6,209.38605000264943,251.15817000187232,213.64406590829745,4.775867351179063,4.680622792183682,28.4376576
7,202.35580000735354,242.46859500563005,208.39024924255986,4.941790647778124,4.798625900384875,28.4376576
8,212.3818500112975,259.549250009877,222.29732120974927,4.7085002788458885,4.498422837615876,28.4376576
9,203.68710000184365,250.18980998283948,212.93347802918905,4.909491077201004,4.696245623437922,28.4376576
10,204.91514999594074,218.08969499979867,206.95755530257222,4.880068652902479,4.831847249906452,28.4376576
11,200.4801500006579,218.29627499973867,202.66195681919768,4.9880249989673215,4.93425671119603,28.4376576
12,203.621499997098,218.51997998164734,205.1242015147705,4.911072750246177,4.875028838844408,28.4376576
13,200.2887999988161,206.39833499881206,201.50676363647852,4.9927904106765375,4.962543100626961,28.4376576
14,197.65885001106653,232.32169500115558,202.66112803228404,5.059221987500241,4.934280836869114,28.4376576
15,203.71600000362378,217.70715999737143,206.87645681733335,4.908794596311589,4.83374412163206,28.4376576
16,207.42769999196753,239.09464499738533,211.82722272527772,4.820956892636443,4.72076530186024,28.4376576
17,200.42444999853615,229.34463999554282,203.8210106023171,4.98941122207048,4.906203754153082,28.4376576
18,203.83125000807922,214.38543001859207,204.64681893931947,4.906019071954684,4.886401077320676,28.4376576
19,205.323350004619,229.05014499847306,208.69905984793812,4.870366667880218,4.791525794594609,28.4376576
